file,purpose,used_in,exists,size_bytes,modified_time,extension,repo_mentions,source_status
pvoixFNpres.xlsx,Presidential FN votes by commune,main.R,TRUE,3503890,2024-05-20T12:54:29Z,xlsx,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:128:df <- read_excel(paste0(raw_data_path, ""pvoixFNpres.xlsx"") , sheet = ""Sheet1"", col_types = c(codecommune = ""text""))  %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:178:df <- read_excel(paste0(raw_data_path, ""pvoixFNpres.xlsx"") , sheet = ""Sheet1"", col_types = c(codecommune = ""text"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:186:    ""FN presidential vote"", ""pvoixFNpres.xlsx"", ""codecommune"", ""commune"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:128:    file.path(raw_data_path, ""pvoixFNpres.xlsx""), || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:186:    file.path(raw_data_path, ""pvoixFNpres.xlsx""),",missing_download_source
pvoixRPRpres.xlsx,Presidential RPR votes by commune,main.R,TRUE,1413497,2024-06-05T19:48:17Z,xlsx,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:147:df <- read_excel(paste0(raw_data_path, ""pvoixRPRpres.xlsx""), sheet = ""Sheet1"", col_types = c(codecommune = ""text"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:149:    file.path(raw_data_path, ""pvoixRPRpres.xlsx""), || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:188:    ""RPR presidential vote"", ""pvoixRPRpres.xlsx"", ""codecommune"", ""commune"",",missing_download_source
EU.xlsx,European Parliament FN votes,main.R,TRUE,4027452,2024-07-25T13:37:19Z,xlsx,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:138:df <- read_excel(paste0(raw_data_path, ""EU.xlsx""), sheet = ""Sheet1"", col_types = c(codecommune = ""text"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:139:    file.path(raw_data_path, ""EU.xlsx""), || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:187:    ""FN European vote"", ""EU.xlsx"", ""codecommune"", ""commune"",",missing_download_source
df_turnout.csv,Turnout data (2002),main.R,TRUE,45980896,2024-02-10T19:46:12Z,csv,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:156:df <- read_csv(paste0(raw_data_path, ""df_turnout.csv""), show_col_types = FALSE) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:159:    file.path(raw_data_path, ""df_turnout.csv"") || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:189:    ""turnout"", ""df_turnout.csv"", ""codecommune"", ""commune"",",missing_download_source
popcommunes.csv,Population by year/commune,"main.R, distAgglo.py",TRUE,267861622,2024-01-12T13:44:30Z,csv,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:188:dfPop <- read_csv(paste0(raw_data_path, ""popcommunes.csv""), show_col_types = FALSE)  || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/Python code/distAgglo.py:31:    path = pathRawData + ""popcommunes.csv"" || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:204:    file.path(raw_data_path, ""popcommunes.csv"") || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:190:    ""population"", ""popcommunes.csv"", ""codecommune"", ""commune"",",missing_download_source
agesexcommunes.csv,Population by age/sex,main.R,TRUE,378281749,2024-03-13T14:23:31Z,csv,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:290:col_names <- read_csv(file = file.path(raw_data_path, ""agesexcommunes.csv""), n_max = 0) %>% names() || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:291:df <- read_csv(file.path(raw_data_path, ""agesexcommunes.csv""),  || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:191:    ""age-sex population"", ""agesexcommunes.csv"", ""codecommune"", ""commune"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:234:  col_names <- read_csv(file = file.path(raw_data_path, ""agesexcommunes.csv""), show_col_types = FALSE) %>% names() || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:235:  pop_share_data <- read_csv(file = file.path(raw_data_path, ""agesexcommunes.csv""), ",missing_download_source
age_demog.xlsx,Age demographic structure,main.R,TRUE,12325107,2024-07-11T12:41:33Z,xlsx,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:234:df <- read_excel(paste0(raw_data_path, ""age_demog.xlsx"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:337:    file.path(raw_data_path, ""age_demog.xlsx"")",missing_download_source
cspcommunes.csv,Socio-professional category shares,main.R,TRUE,1287869075,2023-05-03T17:13:51Z,csv,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:325:col_names <- read_csv(file = file.path(raw_data_path, ""cspcommunes.csv""), n_max = 0, show_col_types = FALSE) %>% names() || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:327:df <- read_csv(file.path(raw_data_path, ""cspcommunes.csv""), col_types = ifelse(grepl(""^pagri|pindp|pempl|pouvr|ppint"", col_names), ""c"", ""_""), show_col_types = FALSE)   || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:192:    ""CSP"", ""cspcommunes.csv"", ""codecommune"", ""commune"", || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:417:  col_names <- read_csv(file = file.path(raw_data_path, ""cspcommunes.csv""), n_max = 0, show_col_types = FALSE) %>% names() || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:419:  csp_data <- read_csv(file.path(raw_data_path, ""cspcommunes.csv""), col_types = ifelse(grepl(""^pagri|pindp|pempl|pouvr|ppint"", col_names), ""c"", ""_""), show_col_types = FALSE)  ",missing_download_source
etrangers.csv,Foreign population,main.R,TRUE,4683093,2024-07-22T20:21:08Z,csv,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:220:df <- read_csv(paste0(raw_data_path, ""etrangers.csv"")) %>%  || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:310:    file.path(raw_data_path, ""etrangers.csv"") || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:194:    ""foreigners"", ""etrangers.csv"", ""codecommune"", ""commune"",",repo_mentions_possible_source
txEmploi.csv,Employment rates,main.R,TRUE,1088732,2024-07-22T09:20:07Z,csv,"/Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare_data.Rmd:204:df <- read_csv(paste0(raw_data_path, ""txEmploi.csv"")) %>% || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/main.R:279:    file.path(raw_data_path, ""txEmploi.csv"") || /Users/ilanpargamin/iCloud_Drive_(Archive)/Desktop/ECONOMICS/thesis/THESIS_REPRO-post-merge-reproduction/CODE/prepare data/audit_commune_keys.R:195:    ""employment"", ""txEmploi.csv"", ""codecommune"", ""commune"",",missing_download_source
